Entity,Code,Year,region,Total_Meat_kg_per_capita,"Meat, poultry | 00002734 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, beef and buffalo | 00002731 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, sheep and goat | 00002732 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, pig | 00002733 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, Other | 00002735 || Food available for consumption | 0645pc || kilograms per year per capita",Fruit_kg_per_capita,Vegetables_kg_per_capita
Brunei,BRN,2009,Asia,74.753312034,56.799416,9.294263,1.7810593,6.776214,0.102359734,95.2355,65.059845
North Korea,PRK,2018,Asia,13.81217695,1.5423762,0.8107362,0.56356055,4.992949,5.902555,58.56086,121.996025
Bhutan,BTN,2022,Asia,15.7219884,4.8198066,7.314883,0.2505097,3.3367891,0.0,40.652714,62.777733
Afghanistan,AFG,2022,Asia,6.861754310500001,0.8817912,2.0169706,3.6690621,0.0101355305,0.28379488,35.251377,61.056442
Syria,SYR,2022,Asia,16.32149665,5.1614146,2.2458065,8.727125,0.08865026,0.09850029,85.59675,83.863144
Belgium,BEL,2022,Europe,64.55848757,16.26978,12.945739,0.92111987,32.339317,2.0825317,99.05042,230.92075
Pakistan,PAK,2022,Asia,20.40842675,8.128534,9.744564,2.40953,,0.12579875,26.959639,31.410978
Philippines,PHL,2022,Asia,35.55059804,15.950111,3.843034,0.27377814,15.321436,0.1622389,88.88664,58.82174
Switzerland,CHE,2022,Europe,66.28822210000001,17.904182,18.570246,1.2625381,27.537249,1.014007,124.464386,159.18916
Thailand,THA,2022,Asia,25.916176326,11.154051,1.6191363,0.039978676,13.023053,0.07995735,73.150986,40.488403
Belarus,BLR,2022,Europe,98.18518327,36.51541,23.522451,0.0935493,37.85628,0.19749297,76.46096,165.9045
Oman,OMN,2022,Asia,43.390967,18.459301,9.37477,11.609624,0.4837343,3.4635377,152.30858,272.97128
Austria,AUT,2022,Europe,76.88483124,18.876034,14.280302,0.98620874,42.229458,0.5128285,145.73207,171.59045
Bangladesh,BGD,2022,Asia,4.396265438,1.6776553,1.273401,1.3340392,0.010106358,0.10106358,31.016413,50.208385
Sweden,SWE,2022,Europe,68.4728188,16.446754,22.13019,1.3177521,28.36688,0.2112427,104.806564,172.62553
Slovakia,SVK,2022,Europe,62.49597532000001,12.765223,7.0012813,0.11342282,41.358086,1.2579622,70.99237,114.051796
Serbia,SRB,2022,Europe,79.36819539999999,12.185953,10.442064,4.487323,52.220955,0.0319004,173.6764,110.811356
Slovenia,SVN,2022,Europe,60.56302348999999,25.967035,12.226855,0.79173905,21.226624,0.35077044,127.10919,170.1437
Saudi Arabia,SAU,2022,Asia,66.2538153,51.56595,6.6649866,5.7144623,,2.3084164,112.43346,136.3663
Armenia,ARM,2022,Asia,57.417554524,17.80726,24.862602,3.744833,10.964253,0.038606524,116.76544,214.97078
Azerbaijan,AZE,2022,Asia,40.74710206,16.157986,15.121702,8.652472,0.81494206,0.0,95.05645,199.75134
Russia,RUS,2022,Europe,81.22363999999999,34.026253,12.435537,1.4413693,29.334349,3.9861317,75.4681,106.15436
Poland,POL,2022,Europe,84.738404426,30.661991,0.25958338,0.031150006,53.62993,0.15575004,71.56194,129.22061
South Korea,KOR,2022,Asia,83.45368706000001,21.82404,19.55258,0.55035406,41.36661,0.160103,54.405,226.98602
Bahrain,BHR,2022,Asia,84.57549202999999,44.865623,14.871999,22.456814,0.84489083,1.5361652,150.28496,153.17487
Spain,ESP,2022,Europe,104.1592997,31.918982,12.847142,1.8594549,56.18139,1.3523308,87.87167,92.44573
Albania,ALB,2022,Europe,53.47766824,22.677748,15.269281,8.916296,6.342934,0.27140924,200.94334,379.1386
Turkey,TUR,2022,Asia,45.85728921,20.74263,18.193914,6.9011397,0.0,0.01960551,142.23799,239.25586
Qatar,QAT,2022,Asia,82.74273641,55.124554,17.200798,9.848994,0.22362901,0.3447614,105.31995,216.15608
Sri Lanka,LKA,2022,Asia,11.38698425,9.971977,1.2142292,0.13385203,0.06692602,0.0,74.84241,60.281223
Portugal,PRT,2022,Europe,97.038993,32.359478,22.125128,2.257867,39.67536,0.62116,135.7481,106.90853
Romania,ROU,2022,Europe,69.63462683,22.144817,4.677182,3.1694062,39.468853,0.17436863,103.55445,133.48431
Hungary,HUN,2022,Europe,78.88002812,24.38241,5.557831,0.11321507,48.45605,0.37052205,85.456795,78.46833
Cambodia,KHM,2022,Asia,12.097022602,1.7838478,4.279285,0.009747802,6.024142,0.0,14.572964,34.81915
Norway,NOR,2022,Europe,71.94301700000001,21.421572,18.623123,4.501418,25.683975,1.712929,136.26749,156.67325
Kyrgyzstan,KGZ,2022,Asia,36.3667915,7.197098,14.746901,9.380058,1.3440937,3.6986408,33.41169,178.48802
Estonia,EST,2022,Europe,67.69591684,20.882402,8.653526,0.39289564,37.38402,0.3830732,94.471756,155.13484
Kuwait,KWT,2022,Asia,76.64395334,48.618683,11.03152,13.896367,0.31624934,2.781134,108.017746,191.31223
Tajikistan,TJK,2022,Asia,35.08143062,2.688045,24.3488,7.526526,0.34211484,0.17594478,36.48899,251.48372
Kazakhstan,KAZ,2022,Asia,67.959816,21.126701,24.041063,8.239608,7.755494,6.79695,73.3722,257.07382
Finland,FIN,2022,Europe,71.25344435999999,23.548855,17.251253,0.44769683,29.209734,0.79590553,111.954056,111.486465
Jordan,JOR,2022,Asia,37.999851055,26.67008,6.837968,4.3915396,0.010026345,0.09023711,38.200375,125.33935
Japan,JPN,2022,Asia,59.914467935000005,27.666561,9.400681,0.14874497,22.579485,0.118995965,44.712734,115.267426
France,FRA,2022,Europe,82.4929095,23.9873,22.64167,2.3792284,32.889904,0.5948071,124.246414,115.49008
Italy,ITA,2022,Europe,72.85231446,20.111874,16.061771,0.85161066,34.61896,1.2080988,131.81151,113.32363
Israel,ISR,2022,Asia,112.384451032,70.32592,35.843082,5.0637045,1.1418157,0.009928832,126.34439,156.31953
Georgia,GEO,2022,Asia,39.696338966,18.93544,7.1834292,1.3222246,12.136837,0.118408166,64.532455,78.652626
Ireland,IRL,2022,Europe,89.12884330000001,30.65002,23.22835,4.1482706,28.615206,2.4869967,115.27671,189.88661
Uzbekistan,UZB,2022,Asia,42.02226789,6.323162,30.476055,4.757238,0.17839643,0.28741646,110.27872,276.40546
Iraq,IRQ,2022,Asia,19.078045640000003,14.219769,3.1522508,1.2816844,0.3550612,0.06928024,57.53724,94.801346
Iran,IRN,2022,Asia,31.572853906,24.31268,3.867477,3.3036757,0.0,0.089021206,130.57431,103.04699
Germany,DEU,2022,Europe,70.70250693999999,16.36935,13.930308,0.74361074,38.628098,1.0311402,97.73028,197.66165
Indonesia,IDN,2022,Asia,18.931237073,14.623294,2.9543004,0.41498533,0.92877674,0.009880603,82.374596,51.280334
United Kingdom,GBR,2022,Europe,83.2533369,35.15097,17.129908,4.059689,25.9127,1.0000699,108.57194,183.92374
Greece,GRC,2022,Europe,78.7118832,26.16083,14.760972,8.537427,27.31777,1.9348842,166.69923,131.84142
India,IND,2022,Asia,6.591626950000001,3.4698007,2.1872668,0.57664305,0.2187267,0.1391897,64.80275,93.92323
Iceland,ISL,2022,Europe,91.6067065,30.140106,15.687759,14.5994215,20.276428,10.902992,148.20029,173.62428
Hong Kong,HKG,2022,Asia,123.7299983,45.27906,23.141071,0.5216019,52.73195,2.0563154,81.51034,179.79219
United Arab Emirates,ARE,2022,Asia,76.69395186000001,50.929577,12.840707,9.052098,0.60838956,3.2631803,76.90597,104.23741
Turkmenistan,TKM,2022,Asia,52.459073284,9.952815,22.369373,18.091177,0.062260684,1.9834476,52.467968,132.17943
East Timor,TLS,2022,Asia,29.1721125,5.3191595,1.5379523,0.4897937,10.079954,11.745253,21.39419,26.821102
Denmark,DNK,2022,Europe,66.7962321,17.767818,21.85352,0.717489,25.65023,0.8071751,130.48335,161.75392
Bosnia and Herzegovina,BIH,2022,Europe,49.35901510000001,22.015816,13.389087,0.37332043,13.177202,0.40358967,178.86086,243.74797
North Macedonia,MKD,2022,Europe,48.13629583,20.490067,9.841147,0.910164,16.473967,0.42095083,140.63171,326.6351
Netherlands,NLD,2022,Europe,63.8428441,13.518045,16.411966,0.9515606,30.498987,2.4622855,169.6132,179.7959
Bulgaria,BGR,2022,Europe,60.4490065,20.735878,3.5867999,1.4009385,33.98021,0.7451801,72.610344,94.72729
Vietnam,VNM,2022,Asia,52.74753805,14.725969,5.2304277,0.19700293,32.298634,0.29550442,89.77424,180.12962
Nepal,NPL,2022,Asia,17.2602141,6.9184775,6.538116,2.590574,1.2130466,0.0,57.804756,142.45074
Myanmar,MMR,2022,Asia,20.23784497,12.185037,2.6809096,0.22172937,5.150169,0.0,41.523865,82.4934
Ukraine,UKR,2022,Europe,46.38623398,22.119541,5.996552,0.2611402,17.651142,0.35785878,48.581745,149.8848
Montenegro,MNE,2022,Europe,90.22521255,19.610184,14.294416,1.7141055,54.555492,0.05101505,123.55844,183.7664
Mongolia,MNG,2022,Asia,132.2625589,7.1259995,30.31059,68.70065,2.7299604,23.395359,38.73131,100.96838
Moldova,MDA,2022,Europe,35.4293550025,22.74083,1.0216497,0.0091218725,11.402341,0.25541243,108.50467,90.762634
China,CHN,2022,Asia,70.0047514,17.148512,8.043993,3.861917,40.179947,0.7703824,112.305756,408.04257
Malta,MLT,2022,Europe,66.03672802,24.24376,17.892519,0.83808076,22.40604,0.65632826,85.6155,183.62047
Maldives,MDV,2022,Asia,38.909419490000005,21.788475,13.822689,1.7690643,0.82956123,0.69962996,175.18735,202.65282
Croatia,HRV,2022,Europe,97.1436328,20.15702,14.916608,1.7846287,59.20222,1.0831561,102.63162,349.56027
Malaysia,MYS,2022,Asia,69.25479525,51.90197,8.71554,1.3498815,7.277622,0.00978175,66.68219,74.63476
