Entity,Code,Year,region,Total_Meat_kg_per_capita,"Meat, poultry | 00002734 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, beef and buffalo | 00002731 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, sheep and goat | 00002732 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, pig | 00002733 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, Other | 00002735 || Food available for consumption | 0645pc || kilograms per year per capita",Vegetables_kg_per_capita,Daily_caloric_supply,Urban_population_pct,GDP_per_capita
Brunei,BRN,2009,Asia,74.753312034,56.799416,9.294263,1.7810593,6.776214,0.102359734,65.059845,2960.2434,74.608,87875.83
North Korea,PRK,2018,Asia,13.81217695,1.5423762,0.8107362,0.56356055,4.992949,5.902555,121.996025,1981.192,61.899,
Bhutan,BTN,2022,Asia,15.7219884,4.8198066,7.314883,0.2505097,3.3367891,0.0,62.777733,3221.8555,43.686,14061.3125
Afghanistan,AFG,2022,Asia,6.861754310500001,0.8817912,2.0169706,3.6690621,0.0101355305,0.28379488,61.056442,2273.8962,26.616,1981.7102
Syria,SYR,2022,Asia,16.32149665,5.1614146,2.2458065,8.727125,0.08865026,0.09850029,83.863144,2351.389,56.769,4454.8535
Belgium,BEL,2022,Europe,64.55848757,16.26978,12.945739,0.92111987,32.339317,2.0825317,230.92075,3913.8784,98.153,63974.246
Pakistan,PAK,2022,Asia,20.40842675,8.128534,9.744564,2.40953,,0.12579875,31.410978,2364.039,37.731,5526.2793
Philippines,PHL,2022,Asia,35.55059804,15.950111,3.843034,0.27377814,15.321436,0.1622389,58.82174,2888.6738,47.977,9457.104
Switzerland,CHE,2022,Europe,66.28822210000001,17.904182,18.570246,1.2625381,27.537249,1.014007,159.18916,3432.2844,74.092,83007.28
Thailand,THA,2022,Asia,25.916176326,11.154051,1.6191363,0.039978676,13.023053,0.07995735,40.488403,2876.5059,52.889,20741.523
Belarus,BLR,2022,Europe,98.18518327,36.51541,23.522451,0.0935493,37.85628,0.19749297,165.9045,3461.532,80.326,26537.508
Oman,OMN,2022,Asia,43.390967,18.459301,9.37477,11.609624,0.4837343,3.4635377,272.97128,2964.2754,87.75,40366.457
Austria,AUT,2022,Europe,76.88483124,18.876034,14.280302,0.98620874,42.229458,0.5128285,171.59045,3759.605,59.256,66294.72
Bangladesh,BGD,2022,Asia,4.396265438,1.6776553,1.273401,1.3340392,0.010106358,0.10106358,50.208385,2608.2388,39.711,7888.164
Sweden,SWE,2022,Europe,68.4728188,16.446754,22.13019,1.3177521,28.36688,0.2112427,172.62553,3347.4426,88.492,63611.363
Slovakia,SVK,2022,Europe,62.49597532000001,12.765223,7.0012813,0.11342282,41.358086,1.2579622,114.051796,3075.6248,53.909,38720.48
Serbia,SRB,2022,Europe,79.36819539999999,12.185953,10.442064,4.487323,52.220955,0.0319004,110.811356,3840.872,56.873,24910.422
Slovenia,SVN,2022,Europe,60.56302348999999,25.967035,12.226855,0.79173905,21.226624,0.35077044,170.1437,3100.4,55.751,47433.4
Saudi Arabia,SAU,2022,Asia,66.2538153,51.56595,6.6649866,5.7144623,,2.3084164,136.3663,3707.2827,84.729,57351.875
Armenia,ARM,2022,Asia,57.417554524,17.80726,24.862602,3.744833,10.964253,0.038606524,214.97078,3162.6755,63.573,17886.178
Azerbaijan,AZE,2022,Asia,40.74710206,16.157986,15.121702,8.652472,0.81494206,0.0,199.75134,3347.8323,57.17,21051.27
Russia,RUS,2022,Europe,81.22363999999999,34.026253,12.435537,1.4413693,29.334349,3.9861317,106.15436,3433.421,75.126,38263.617
Poland,POL,2022,Europe,84.738404426,30.661991,0.25958338,0.031150006,53.62993,0.15575004,129.22061,3754.6038,60.134,44160.86
South Korea,KOR,2022,Asia,83.45368706000001,21.82404,19.55258,0.55035406,41.36661,0.160103,226.98602,3444.1658,81.427,49933.977
Bahrain,BHR,2022,Asia,84.57549202999999,44.865623,14.871999,22.456814,0.84489083,1.5361652,153.17487,3366.1028,89.743,57465.17
Spain,ESP,2022,Europe,104.1592997,31.918982,12.847142,1.8594549,56.18139,1.3523308,92.44573,3356.2563,81.304,46479.086
Albania,ALB,2022,Europe,53.47766824,22.677748,15.269281,8.916296,6.342934,0.27140924,379.1386,3408.176,63.799,17352.854
Turkey,TUR,2022,Asia,45.85728921,20.74263,18.193914,6.9011397,0.0,0.01960551,239.25586,3784.9321,77.022,33061.047
Qatar,QAT,2022,Asia,82.74273641,55.124554,17.200798,9.848994,0.22362901,0.3447614,216.15608,3298.733,99.318,114740.125
Sri Lanka,LKA,2022,Asia,11.38698425,9.971977,1.2142292,0.13385203,0.06692602,0.0,60.281223,2678.953,19.026,13249.408
Portugal,PRT,2022,Europe,97.038993,32.359478,22.125128,2.257867,39.67536,0.62116,106.90853,3461.2217,67.381,41288.047
Romania,ROU,2022,Europe,69.63462683,22.144817,4.677182,3.1694062,39.468853,0.17436863,133.48431,3716.5237,54.489,39733.656
Hungary,HUN,2022,Europe,78.88002812,24.38241,5.557831,0.11321507,48.45605,0.37052205,78.46833,3530.3752,72.552,40693.96
Cambodia,KHM,2022,Asia,12.097022602,1.7838478,4.279285,0.009747802,6.024142,0.0,34.81915,2655.5547,25.114,6456.7383
Norway,NOR,2022,Europe,71.94301700000001,21.421572,18.623123,4.501418,25.683975,1.712929,156.67325,3490.1426,83.664,91068.6
Kyrgyzstan,KGZ,2022,Asia,36.3667915,7.197098,14.746901,9.380058,1.3440937,3.6986408,178.48802,2632.2693,37.461,6139.7783
Estonia,EST,2022,Europe,67.69591684,20.882402,8.653526,0.39289564,37.38402,0.3830732,155.13484,3238.963,69.609,44492.12
Kuwait,KWT,2022,Asia,76.64395334,48.618683,11.03152,13.896367,0.31624934,2.781134,191.31223,3262.8745,100.0,50984.3
Tajikistan,TJK,2022,Asia,35.08143062,2.688045,24.3488,7.526526,0.34211484,0.17594478,251.48372,2706.0208,27.968,4213.7563
Kazakhstan,KAZ,2022,Asia,67.959816,21.126701,24.041063,8.239608,7.755494,6.79695,257.07382,3330.2827,57.99,33506.26
Finland,FIN,2022,Europe,71.25344435999999,23.548855,17.251253,0.44769683,29.209734,0.79590553,111.486465,3360.4126,85.681,58024.477
Jordan,JOR,2022,Asia,37.999851055,26.67008,6.837968,4.3915396,0.010026345,0.09023711,125.33935,2563.9773,91.827,9266.575
Japan,JPN,2022,Asia,59.914467935000005,27.666561,9.400681,0.14874497,22.579485,0.118995965,115.267426,2670.091,91.955,45174.73
France,FRA,2022,Europe,82.4929095,23.9873,22.64167,2.3792284,32.889904,0.5948071,115.49008,3505.4807,81.509,55106.332
Italy,ITA,2022,Europe,72.85231446,20.111874,16.061771,0.85161066,34.61896,1.2080988,113.32363,3667.362,71.657,52924.61
Israel,ISR,2022,Asia,112.384451032,70.32592,35.843082,5.0637045,1.1418157,0.009928832,156.31953,3894.7434,92.763,48271.418
Georgia,GEO,2022,Asia,39.696338966,18.93544,7.1834292,1.3222246,12.136837,0.118408166,78.652626,3064.7585,60.297,20966.527
Ireland,IRL,2022,Europe,89.12884330000001,30.65002,23.22835,4.1482706,28.615206,2.4869967,189.88661,3844.307,64.183,124991.3
Uzbekistan,UZB,2022,Asia,42.02226789,6.323162,30.476055,4.757238,0.17839643,0.28741646,276.40546,3242.6523,50.466,9607.562
Iraq,IRQ,2022,Asia,19.078045640000003,14.219769,3.1522508,1.2816844,0.3550612,0.06928024,94.801346,2325.391,71.354,13393.675
Iran,IRN,2022,Asia,31.572853906,24.31268,3.867477,3.3036757,0.0,0.089021206,103.04699,2847.2542,76.807,15331.333
Germany,DEU,2022,Europe,70.70250693999999,16.36935,13.930308,0.74361074,38.628098,1.0311402,197.66165,3573.129,77.648,63353.94
Indonesia,IDN,2022,Asia,18.931237073,14.623294,2.9543004,0.41498533,0.92877674,0.009880603,51.280334,2796.1118,57.934,13334.294
United Kingdom,GBR,2022,Europe,83.2533369,35.15097,17.129908,4.059689,25.9127,1.0000699,183.92374,3322.3113,84.398,54805.445
Greece,GRC,2022,Europe,78.7118832,26.16083,14.760972,8.537427,27.31777,1.9348842,131.84142,3389.079,80.357,35956.25
India,IND,2022,Asia,6.591626950000001,3.4698007,2.1872668,0.57664305,0.2187267,0.1391897,93.92323,2573.6377,35.872,8544.688
Iceland,ISL,2022,Europe,91.6067065,30.140106,15.687759,14.5994215,20.276428,10.902992,173.62428,3605.145,93.992,65932.13
Hong Kong,HKG,2022,Asia,123.7299983,45.27906,23.141071,0.5216019,52.73195,2.0563154,179.79219,3004.8684,100.0,64036.785
United Arab Emirates,ARE,2022,Asia,76.69395186000001,50.929577,12.840707,9.052098,0.60838956,3.2631803,104.23741,3061.702,87.543,68867.83
Turkmenistan,TKM,2022,Asia,52.459073284,9.952815,22.369373,18.091177,0.062260684,1.9834476,132.17943,2521.2285,53.494,17119.574
East Timor,TLS,2022,Asia,29.1721125,5.3191595,1.5379523,0.4897937,10.079954,11.745253,26.821102,2222.3997,32.074,5344.1367
Denmark,DNK,2022,Europe,66.7962321,17.767818,21.85352,0.717489,25.65023,0.8071751,161.75392,3579.652,88.367,70865.44
Bosnia and Herzegovina,BIH,2022,Europe,49.35901510000001,22.015816,13.389087,0.37332043,13.177202,0.40358967,243.74797,3398.2654,49.841,19569.77
North Macedonia,MKD,2022,Europe,48.13629583,20.490067,9.841147,0.910164,16.473967,0.42095083,326.6351,3581.6543,59.118,23056.498
Netherlands,NLD,2022,Europe,63.8428441,13.518045,16.411966,0.9515606,30.498987,2.4622855,179.7959,3468.3992,92.886,72103.87
Bulgaria,BGR,2022,Europe,60.4490065,20.735878,3.5867999,1.4009385,33.98021,0.7451801,94.72729,3035.4165,76.363,31813.936
Vietnam,VNM,2022,Asia,52.74753805,14.725969,5.2304277,0.19700293,32.298634,0.29550442,180.12962,3026.152,38.766,12930.256
Nepal,NPL,2022,Asia,17.2602141,6.9184775,6.538116,2.590574,1.2130466,0.0,142.45074,3012.8171,21.451,4763.3877
Myanmar,MMR,2022,Asia,20.23784497,12.185037,2.6809096,0.22172937,5.150169,0.0,82.4934,2829.196,31.771,5350.4766
Ukraine,UKR,2022,Europe,46.38623398,22.119541,5.996552,0.2611402,17.651142,0.35785878,149.8848,2757.9207,69.919,13787.121
Montenegro,MNE,2022,Europe,90.22521255,19.610184,14.294416,1.7141055,54.555492,0.05101505,183.7664,3646.1067,68.164,26164.635
Mongolia,MNG,2022,Asia,132.2625589,7.1259995,30.31059,68.70065,2.7299604,23.395359,100.96838,3099.4084,68.93,15310.435
Moldova,MDA,2022,Europe,35.4293550025,22.74083,1.0216497,0.0091218725,11.402341,0.25541243,90.762634,2635.0444,43.173,15291.129
China,CHN,2022,Asia,70.0047514,17.148512,8.043993,3.861917,40.179947,0.7703824,408.04257,3453.9045,63.56,21011.617
Malta,MLT,2022,Europe,66.03672802,24.24376,17.892519,0.83808076,22.40604,0.65632826,183.62047,3330.1594,94.875,59133.773
Maldives,MDV,2022,Asia,38.909419490000005,21.788475,13.822689,1.7690643,0.82956123,0.69962996,202.65282,2651.138,41.536,21357.81
Croatia,HRV,2022,Europe,97.1436328,20.15702,14.916608,1.7846287,59.20222,1.0831561,349.56027,3421.5254,58.219,39844.137
Malaysia,MYS,2022,Asia,69.25479525,51.90197,8.71554,1.3498815,7.277622,0.00978175,74.63476,2937.7532,78.214,32079.152
Macao,MAC,2022,Asia,111.6719101,48.966267,12.436504,0.5626038,48.26548,1.4410553,133.3667,2899.2747,100.0,60089.84
Cyprus,CYP,2022,Asia,71.75280268000002,27.345592,7.7082796,3.891741,32.337173,0.47001708,109.40117,2855.3254,66.911,52882.285
